tmin	tier	text	tmax
0.501224	BHGR	1	0.664640
0.955723	BHGR	1	2.048562
1.093604	BLPH	1	1.394901
2.420913	BHGR	1	3.095000
2.528141	BLPH	1	2.889769
3.539285	BHGR	1	4.535097
3.837671	BLPH	1	4.204778
4.862532	BHGR	1	4.900887
5.213201	BLPH	1	5.399494
5.214291	BHGR	1	5.479841
5.770924	BHGR	1	5.857739
6.226854	BLPH	1	6.473418
6.230530	BHGR	1	6.332664
7.154847	BHGR	1	7.793187
7.777469	BLPH	1	8.073346
7.935735	BHGR	1	8.272779
8.415768	BHGR	1	9.830330
9.339042	BLPH	1	9.645878
10.438031	BHGR	1	10.626980
10.588301	BLPH	1	10.944449
11.158079	BHGR	1	11.270427
11.689178	BHGR	1	11.944515
12.291772	BHGR	1	12.654349
13.027140	BHGR	1	13.134381
13.374398	BHGR	1	13.614414
13.971884	BHGR	1	14.140406
14.599571	BHGR	1	14.686386
14.967256	BHGR	1	15.212378
15.702624	BHGR	1	16.039668
17.857662	BHGR	1	17.975117
18.490896	BHGR	1	18.817726
19.205837	BHGR	1	19.507134
19.599055	BHGR	1	19.946312
20.181222	BHGR	1	20.293129
20.716988	BHGR	1	20.849762
21.059138	BHGR	1	21.457463
21.784293	BHGR	1	21.901748
22.274539	BHGR	1	22.463488
22.866919	BHGR	1	23.076295
23.423552	BHGR	1	23.694208
23.949545	BHGR	1	24.215094
24.592992	BHGR	1	24.817688
25.098558	BHGR	1	25.195585
25.440708	BHGR	1	25.762432
25.951381	BHGR	1	26.007555
26.272664	BHGR	1	26.568854
27.309329	BHGR	1	27.595306
27.804682	BHGR	1	28.095765
28.356208	BHGR	1	28.657505
28.637543	BLPH	1	28.988212
28.938375	BHGR	1	29.025189
29.443940	BHGR	1	29.592035
29.878012	BHGR	1	30.123135
30.424432	BHGR	1	30.582740
30.858503	BHGR	1	31.287468
31.435563	BHGR	1	31.501951
31.741967	BHGR	1	31.981983
32.354328	BHGR	1	32.466676
35.617525	BHGR	1	35.734980
36.112877	BHGR	1	36.260972
36.582696	BHGR	1	36.817605
37.205717	BHGR	1	37.537654
37.892419	OCWA	1	39.026614
38.109167	BHGR	1	38.267475
44.701508	BHGR	1	44.834283
45.288782	BHGR	1	45.615612
47.714476	BHGR	1	47.954492
48.363030	BHGR	1	48.506018
48.863489	BHGR	1	48.955410
49.266920	BHGR	1	49.481403
49.349934	OCWA	1	50.927945
49.813340	BHGR	1	49.930795
50.155045	BHGR	1	50.752532
50.849559	BHGR	1	51.053828
51.304058	BHGR	1	51.554287
51.901545	BHGR	1	52.350937
52.846289	BHGR	1	52.984170
52.999334	OCWA	1	54.177363
53.428456	BHGR	1	53.607191
53.974875	BHGR	1	54.337453
54.720457	BHGR	1	54.853232
55.220916	BHGR	1	55.348584
55.619241	BHGR	1	55.752015
56.048205	BHGR	1	56.221834
56.349062	BHGR	1	56.640145
56.859735	BHGR	1	57.130391
57.319340	BHGR	1	57.559356
57.689533	OCWA	1	59.042896
57.753411	BHGR	1	57.962787
58.289618	BHGR	1	58.488780
58.703262	BHGR	1	58.984132
59.265002	BHGR	1	59.423310
59.709287	BHGR	1	59.908449
60.082078	BHGR	1	60.240386
60.526363	BHGR	1	60.643818
61.453996	OCWA	1	62.763526
62.032847	BHGR	1	62.160515
62.461372	BHGR	1	62.721815
62.915870	BHGR	1	63.181420
63.365262	BHGR	1	63.584851
63.906575	BHGR	1	64.064883
64.396820	BHGR	1	64.693010
65.004521	BHGR	1	65.234323
65.333522	OCWA	1	66.604698
65.428379	BHGR	1	65.739889
66.030972	BHGR	1	66.189281
66.511004	BHGR	1	66.597819
66.862789	BHGR	1	66.939390
67.236159	BHGR	1	67.629377
67.519607	BLPH	1	67.694942
67.751939	BHGR	1	67.848966
68.032368	BHGR	1	68.292811
68.701349	BHGR	1	68.941365
68.812700	BLPH	1	69.026388
69.601822	OCWA	1	70.862039
69.651200	BHGR	1	70.018884
70.401889	BHGR	1	70.692972
71.004482	BHGR	1	71.254712
71.295029	BLPH	1	71.536114
71.796025	BHGR	1	71.974760
72.342444	BHGR	1	72.643741
72.996105	BHGR	1	73.220801
73.379109	BHGR	1	73.465924
73.854035	BHGR	1	74.338733
74.018193	BLPH	1	74.275716
74.813659	BHGR	1	75.028141
74.988130	OCWA	1	76.308618
75.441786	BHGR	1	75.794150
76.335897	BLPH	1	76.544106
76.401850	BHGR	1	76.764428
76.864874	BHGR	1	77.020630
77.335972	BHGR	1	77.593863
77.908334	BHGR	1	78.250485
78.555224	BLPH	1	78.725080
79.001940	BHGR	1	79.544533
79.764013	BHGR	1	80.104889
80.287456	BHGR	1	80.674293
80.812656	BLPH	1	80.993470
80.938567	BHGR	1	81.375084
81.681764	BHGR	1	82.335425
83.147394	BHGR	1	83.663173
83.223506	BLPH	1	83.404320
84.046177	BHGR	1	84.490462
84.725372	BHGR	1	84.868360
85.103269	BHGR	1	85.910132
85.431875	BLPH	1	85.656523
86.364190	BHGR	1	86.573566
86.885076	BHGR	1	87.160839
87.533630	BHGR	1	88.166864
88.220790	BLPH	1	88.407083
88.585616	BHGR	1	89.035007
89.615559	BHGR	1	89.980692
90.063677	BHGR	1	91.077697
90.352445	BLPH	1	90.555175
91.409635	BHGR	1	91.573050
92.032655	BHGR	1	92.145003
92.394787	BHGR	1	92.629696
92.854392	BHGR	1	93.073981
92.883837	BLPH	1	93.037255
93.421238	BHGR	1	93.477412
93.794029	BHGR	1	94.049366
95.557939	BLPH	1	95.738752
97.485751	BHGR	1	98.593911
97.903038	BLPH	1	98.100289
98.864567	BHGR	1	99.891019
100.187866	BLPH	1	100.439910
100.978751	BHGR	1	102.153298
102.280966	BHGR	1	103.363592
103.218116	BLPH	1	103.398930
103.486153	BHGR	1	104.078533
105.738550	BLPH	1	105.957718
108.182525	BLPH	1	108.385255
108.398382	BHGR	1	109.435048
109.756771	BHGR	1	110.032534
110.389559	BHGR	1	110.910445
111.191315	BHGR	1	111.936897
112.122073	BLPH	1	112.302886
112.151379	BHGR	1	113.453594
113.617009	BHGR	1	114.112362
114.464726	BHGR	1	114.796663
114.697543	BLPH	1	114.894794
115.194987	BHGR	1	115.818008
115.960556	BHGR	1	116.501869
117.360436	BLPH	1	117.546729
117.380226	BHGR	1	117.972606
118.299436	BHGR	1	118.953097
119.172686	BHGR	1	120.250205
119.596201	BLPH	1	119.755098
120.582142	BHGR	1	120.873225
120.818064	BLPH	1	120.987919
121.077494	BHGR	1	121.429858
121.786889	BHGR	1	122.374162
